,title,price,mpg,rating
160,2020 Lexus GS,"$52,090",21 MPG,4.4 / 5
161,2021 Lexus GX,"$54,125",16 MPG,3.6 / 5
162,2021 Lexus IS,"$40,025",25 MPG,
163,2020 Lexus LC,"$93,975",19 MPG,
164,2020 Lexus LS,"$76,475",23 MPG,
165,2021 Lexus LX,"$87,875",14 MPG,3.5 / 5
166,2021 Lexus NX,"$38,535",25 MPG,
167,2021 Lexus RC,"$43,145",25 MPG,
168,2021 Lexus RX,"$46,095",23 MPG,
169,2021 Lexus UX,"$33,925",32 MPG,4.3 / 5
170,2021 Lexus ES,"$42,835",44 MPG,4.7 / 5
171,2020 Lexus LC,"$98,535",30 MPG,
172,2020 Lexus LS,"$81,035",28 MPG,
173,2021 Lexus NX,"$41,085",31 MPG,
174,2021 Lexus RX,"$48,745",30 MPG,
175,2021 Lexus UX,"$36,125",39 MPG,4.3 / 5
176,2020 Lexus LC,"$93,975",19 MPG,
177,2021 Lexus RC,"$43,145",25 MPG,
178,2019 Lamborghini Urus,"$203,695",14 MPG,
179,2019 Lamborghini Aventador,"$463,742",11 MPG,
180,2019 Lamborghini Huracan,"$226,975",15 MPG,
181,2019 Lamborghini Urus,"$203,695",14 MPG,
182,2019 Lamborghini Aventador,"$421,145",11 MPG,
183,2019 Lamborghini Huracan,"$206,995",15 MPG,
184,2019 Lamborghini Aventador,"$463,742",11 MPG,
185,2019 Lamborghini Huracan,"$226,975",15 MPG,
186,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
187,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
188,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
189,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
190,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
191,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
192,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
193,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
194,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
195,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
196,2020 Acura ILX,"$26,925",28 MPG,4.4 / 5
197,2020 Acura MDX,"$45,525",23 MPG,4.6 / 5
198,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
199,2020 Acura NSX,"$159,495",21 MPG,
200,2021 Acura RDX,"$39,225",24 MPG,4.5 / 5
201,2020 Acura RLX,"$55,925",23 MPG,4.0 / 5
202,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
203,2021 Acura TLX,"$38,525",25 MPG,4.7 / 5
204,2020 Acura MDX Sport Hybrid,"$54,025",27 MPG,4.6 / 5
205,2020 Acura NSX,"$159,495",21 MPG,
206,2020 Acura RLX Sport Hybrid,"$62,925",28 MPG,4.0 / 5
207,2020 Acura NSX,"$159,495",21 MPG,
208,2021 INFINITI Q50,"$37,625",23 MPG,4.4 / 5
209,2019 INFINITI Q70,"$51,425",21 MPG,3.8 / 5
210,2019 INFINITI QX30,"$31,175",27 MPG,4.4 / 5
211,2021 INFINITI QX50,"$39,345",26 MPG,4.4 / 5
212,2020 INFINITI QX60,"$45,375",22 MPG,4.2 / 5
213,2021 INFINITI QX80,"$70,445",16 MPG,3.3 / 5
214,2021 INFINITI QX50,"$39,345",26 MPG,4.4 / 5
215,2020 INFINITI QX60,"$45,375",22 MPG,4.2 / 5
216,2021 INFINITI Q50,"$37,625",23 MPG,4.4 / 5
217,2020 INFINITI Q60,"$42,375",22 MPG,4.4 / 5
218,2019 INFINITI Q70,"$51,425",21 MPG,3.8 / 5
219,2019 INFINITI QX30,"$31,175",27 MPG,4.4 / 5
220,2021 INFINITI QX50,"$39,345",26 MPG,4.4 / 5
221,2020 INFINITI QX60,"$45,375",22 MPG,4.2 / 5
222,2021 INFINITI QX80,"$70,445",16 MPG,3.3 / 5
223,2020 INFINITI Q60,"$42,375",22 MPG,4.4 / 5
224,2021 Honda Accord,"$25,725",33 MPG,
225,2021 Honda Accord Hybrid,"$27,325",48 MPG,
226,2021 Honda Civic,"$22,005",33 MPG,4.6 / 5
227,2020 Honda Civic Type R,"$37,950",25 MPG,4.7 / 5
228,2019 Honda Clarity Electric,"$37,575",114 MPGe,4.7 / 5
229,2020 Honda Clarity Fuel Cell,"$59,445",68 MPGe,4.7 / 5
230,2020 Honda Clarity Plug-in Hybrid,"$34,355",42 MPG,4.7 / 5
231,2020 Honda Fit,"$17,145",31 MPG,4.6 / 5
232,2021 Honda Insight,"$23,885",52 MPG,4.4 / 5
233,2021 Honda CR-V,"$26,470",30 MPG,4.7 / 5
234,2021 Honda CR-V Hybrid,"$31,680",38 MPG,4.7 / 5
235,2021 Honda HR-V,"$22,140",30 MPG,4.5 / 5
236,2021 Honda Passport,"$33,710",22 MPG,
237,2021 Honda Pilot,"$33,370",23 MPG,4.6 / 5
238,2021 Honda CR-V,"$26,470",30 MPG,4.7 / 5
239,2021 Honda CR-V Hybrid,"$31,680",38 MPG,4.7 / 5
240,2021 Honda HR-V,"$22,140",30 MPG,4.5 / 5
241,2021 Honda Pilot,"$33,370",23 MPG,4.6 / 5
242,2020 Honda Ridgeline,"$35,020",22 MPG,4.3 / 5
243,2021 Honda Odyssey,"$32,910",22 MPG,4.7 / 5
244,2021 Honda Accord Hybrid,"$27,325",48 MPG,
245,2020 Honda Clarity Plug-in Hybrid,"$34,355",42 MPG,4.7 / 5
246,2021 Honda CR-V Hybrid,"$31,680",38 MPG,4.7 / 5
247,2021 Honda Insight,"$23,885",52 MPG,4.4 / 5
248,2019 Honda Clarity Electric,"$37,575",114 MPGe,4.7 / 5
